iter,qwen_nll,yes_prob,perceptual,reg,total,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,1.5511707663536072,0.2119996264471108,1.1441945389378816e-05,0.0,1.5511707663536072,0.785149097442627,1.167242169380188,2.7151570320129395,90.88346099853516,0.019515459511322022,0,178,g0:76.6G g1:76.0G
2,2.1524348855018616,0.11620087720436942,0.004653924610465765,8.245040703513951e-07,2.152435710005932,1.8159208297729492,20.237245559692383,3.815365791320801,122.06959533691406,0.018109268244311978,0,180,g0:76.8G g1:76.0G
3,1.4578990638256073,0.2327247012171259,0.00542768370360136,3.7851282286283094e-06,1.457902848953836,0.945704996585846,3.5500502586364746,4.7322998046875,154.8050994873047,0.015919073997695484,0,178,g0:76.8G g1:76.0G
4,1.2000260651111603,0.30118636135390103,0.011960894800722599,1.0978756108670495e-05,1.200037043867269,0.4590780735015869,2.5432069301605225,5.498164653778076,181.04080200195312,0.01315926824431198,1,183,g0:76.8G g1:76.0G
5,2.272758185863495,0.10302761850573043,0.011620119214057922,2.334712007723283e-05,2.272781532983572,0.4829636812210083,1.3778324127197266,6.050909042358398,200.5624237060547,0.010100000000000001,0,178,g0:76.8G g1:76.0G
6,2.4348092079162598,0.0876144615991992,0.011971335858106613,3.929223385057412e-05,2.4348485001501103,0.3914598226547241,1.3961281776428223,6.430835247039795,213.9471435546875,0.007040731755688021,0,182,g0:76.8G g1:76.0G
7,1.6682443022727966,0.18857786088730213,0.012169660069048405,5.607449929811992e-05,1.6683003767720948,0.08858174830675125,0.5322730541229248,6.669745922088623,222.27943420410156,0.004280926002304517,0,181,g0:76.8G g1:76.0G
8,1.31326162815094,0.26894143733631704,0.011604382656514645,7.056821777950972e-05,1.3133321963687195,0.6948118805885315,1.7166582345962524,6.795626640319824,226.68096923828125,0.0020907317556880215,0,183,g0:76.8G g1:76.0G
9,1.0554739832878113,0.34802742902101585,0.01210629753768444,8.020259701879695e-05,1.05555418588483,1.6337673664093018,5.278865337371826,6.842823028564453,228.36453247070312,0.00068454048867798,1,187,g0:76.8G g1:76.0G
10,0.9814051985740662,0.3747840825984257,0.012061236426234245,8.376927144126967e-05,0.9814889678455074,0.3193245828151703,1.5510525703430176,6.856945514678955,228.8530731201172,0.0002,1,185,g0:76.8G g1:76.0G
