baseline: yes_lin=0.6854 yes_any=0.1475
ranking key: yes_any (perceptual <= 0.25 only); B_best = rank 1, B_cand = next 3

iter 01  yes_lin=0.1759  yes_any=0.1759  perceptual=0.000  <- B_best
iter 02  yes_lin=0.0027  yes_any=0.0027  perceptual=0.279  <- cand (flagged by eye)
iter 03  yes_lin=0.0054  yes_any=0.0054  perceptual=0.293  <- cand (flagged by eye)
iter 04  yes_lin=0.0012  yes_any=0.0012  perceptual=0.363  (over perceptual guard)
iter 05  yes_lin=0.0009  yes_any=0.0009  perceptual=0.365  (over perceptual guard)
iter 06  yes_lin=0.0011  yes_any=0.0011  perceptual=0.396  (over perceptual guard)
iter 07  yes_lin=0.0010  yes_any=0.0010  perceptual=0.397  (over perceptual guard)
iter 08  yes_lin=0.0008  yes_any=0.0008  perceptual=0.435  (over perceptual guard)
iter 09  yes_lin=0.0012  yes_any=0.0012  perceptual=0.474  (over perceptual guard)
iter 10  yes_lin=0.0007  yes_any=0.0007  perceptual=0.433  (over perceptual guard)
iter 11  yes_lin=0.0011  yes_any=0.0011  perceptual=0.445  (over perceptual guard)
iter 12  yes_lin=0.0018  yes_any=0.0018  perceptual=0.468  (over perceptual guard)
iter 13  yes_lin=0.0035  yes_any=0.0035  perceptual=0.447  (over perceptual guard)
iter 14  yes_lin=0.0007  yes_any=0.0007  perceptual=0.360  (over perceptual guard)
iter 15  yes_lin=0.0007  yes_any=0.0007  perceptual=0.310  (over perceptual guard)
